Provincia,Tipo recurso,CIF,exp_fecapertura,Nombre establecimiento,Municipio,C. Postal,Web
Badajoz,Minorista,A06027544,09/06/2010,VIAJES VIDAL,VILLANUEVA DE LA SERENA,6700,No
Badajoz,Minorista,B06640858,01/08/2013,VIAJES VILAPLANA,CABEZA DEL BUEY,6600,Si
Badajoz,Minorista,B16808149,21/03/2022,VIAJES Y TURISMO AMAZONAS,VILLANUEVA DE LA SERENA,6700,No
Badajoz,Minorista,033975281A,24/03/2022,VIAJES Y TURISMO DONAIRE,ACEUCHAL,6207,No
Badajoz,Minorista,E67788216,10/02/2022,VIAJES ZOGO,ZAFRA,6300,No
Badajoz,Minorista,B06351837,09/06/2010,VIAJES ZURBARAN,BADAJOZ,6011,No
Badajoz,Minorista,008820409R,11/03/2013,WONDERTRAVEL,BADAJOZ,6002,Si
Badajoz,Minorista,052359293T,25/06/2020,ZT 1568 (VIAJES ZAFIRO),DON BENITO,6400,No
Badajoz,Minorista,044775496Q,18/11/2022,ZT 1737,SANTOS DE MAIMONA (LOS),6230,Si
Cáceres,Mayorista - Minorista,034272604M,01/03/2022,ALANA RUTAS Y VIAJES,ALIA,10137,No
Cáceres,Mayorista - Minorista,B67915488,25/07/2023,AMERIKA 360- VIAJES KRRTEANDO,CACERES,10001,No
Cáceres,Mayorista - Minorista,B07012107,09/06/2010,B TRAVEL,CACERES,10000,No
Cáceres,Mayorista - Minorista,B07012107,09/06/2010,B TRAVEL,PLASENCIA,10600,Si
Cáceres,Mayorista - Minorista,Y1370524Z,14/12/2023,BD SPORTS VIAJES,VALDELACASA DE TAJO,10332,No
Cáceres,Mayorista - Minorista,B82732546,21/02/2022,DEHESA Y CRIA,MORALEJA,10840,No
Cáceres,Mayorista - Minorista,B10478337,17/08/2017,DESTINO ACTIVO MONFRAGÜE VIVO,MALPARTIDA DE PLASENCIA,10680,Si
Cáceres,Mayorista - Minorista,076074742B,29/07/2022,DESTINO TAJO INTERNACIONAL,VALENCIA DE ALCANTARA,10415,No
Cáceres,Mayorista - Minorista,076029947C,12/02/2020,DREAM CACERES,CACERES,10004,No
Cáceres,Mayorista - Minorista,B10482370,27/07/2017,ENRUTAEXTREMD. SL,CACERES,10001,Si
Cáceres,Mayorista - Minorista,B67638957,19/02/2015,ESCAPADAS TAJO INTERNACIONAL,VALENCIA DE ALCANTARA,10500,No
Cáceres,Mayorista - Minorista,B10243467,03/06/2022,EUROTRAVEL MIAJADAS,MIAJADAS,10100,No
Cáceres,Mayorista - Minorista,011784942H,28/05/2020,EXPEDICIONA,PLASENCIA,10600,No
Cáceres,Mayorista - Minorista,B85721959,15/11/2013,FACTOR OCIO,CACERES,10005,No
Cáceres,Mayorista - Minorista,B10316875,16/07/2020,GRAN HOTEL DON MANUEL,CACERES,10001,No
Cáceres,Mayorista - Minorista,B05317326,27/09/2021,HACIENDO DILOMETROS Y VISITAS SL,CACERES,10005,No
Cáceres,Mayorista - Minorista,B09669284,08/10/2018,HANDMADE VIAJES Y EVENTOS MAGICOS,VILLASBUENAS DE GATA,10858,No
Cáceres,Mayorista - Minorista,B10506350,15/11/2021,IMPERIAL KITCHEN,JARANDILLA DE LA VERA,10450,No
Cáceres,Mayorista - Minorista,077030298D,29/09/2022,KANAK TOURS,CACERES,10005,No
Cáceres,Mayorista - Minorista,002630250Q,03/05/2011,MANALIA PARAISO,CACERES,10004,No
Cáceres,Mayorista - Minorista,030953380A,15/09/2022,MOTOTURISMO EVENTOS,MALPARTIDA DE CACERES,10910,No
Cáceres,Mayorista - Minorista,B86049137,18/11/2019,NAUTALIA VIAJES,CACERES,10001,Si
Cáceres,Mayorista - Minorista,076040111H,02/03/2020,SANDALO TRAVEL TOUR,CACERES,10005,Si
Cáceres,Mayorista - Minorista,B85227643,09/06/2010,SERVICIOS TURISTICOS MASQUEBUS S.L.,CACERES,10000,Si
Cáceres,Mayorista - Minorista,E10505691,13/02/2020,TRAVEL KUSTOM. E.S.P.J,CACERES,10005,No
Cáceres,Mayorista - Minorista,B10296523,12/12/2022,TURIEXTREM,VALENCIA DE ALCANTARA,10415,No
Cáceres,Mayorista - Minorista,B10342632,09/06/2010,VIAJENCANTADO,TRUJILLO,10200,Si
Cáceres,Mayorista - Minorista,028947005X,23/08/2013,VIAJES AMORES,CECLAVIN,10870,Si
Cáceres,Mayorista - Minorista,A10033603,09/06/2010,VIAJES CORIA TOURS S.A.,MORALEJA,10840,No
