Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
EXT-832,COCOZA S. COOP. LTDA.,BADAJOZ,ZALAMEA DE LA SERENA,6430,Sociedades Cooperativas de Trabajo Asociado,18/12/1987
06/BA-397,"CONFECCIONES CRESPO, S. COOP. LTDA.",BADAJOZ,ZALAMEA DE LA SERENA,6430,Sociedades Cooperativas de Trabajo Asociado,18/10/1989
06/BA-385,"GLADY, SOCIEDAD COOPERATIVA",BADAJOZ,ZALAMEA DE LA SERENA,6430,Sociedades Cooperativas de Trabajo Asociado,15/09/1989
EXT-726,"MÁRMOLES Y GRANITOS BASEX, S. COOP. ESPECIAL",BADAJOZ,ZALAMEA DE LA SERENA,6430,Sociedades Cooperativas de Trabajo Asociado,11/03/2008
SMT-320,SOCIEDAD COOPERATIVA LIMITADA PASTORA EXTREMEÑA,BADAJOZ,ZALAMEA DE LA SERENA,6430,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,02/12/1981
EXT-1269,"CONSTRUCCIONES 2021, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,ZARZA (LA),6830,Sociedades Cooperativas de Trabajo Asociado,20/08/2021
EXT-733,SOCIEDAD COOPERATIVA LIMITADA SAN MARTÍN,BADAJOZ,ZARZA (LA),6830,Sociedades Cooperativas Agroalimentarias,23/09/1985
EXT-197,SOCIEDAD COOPERATIVA LIMITADA VIÑA CANCHALOSA,BADAJOZ,ZARZA (LA),6830,Sociedades Cooperativas Agroalimentarias,29/05/1980
EXT-1237,"TIERRA BLANCA, S. COOP. ESPECIAL",BADAJOZ,ZARZA (LA),6830,Sociedades Cooperativas de Trabajo Asociado,03/02/2020
06/BA-660,"COTEXZUR, S. COOP. LTDA.",BADAJOZ,ZURBARAN,6712,Sociedades Cooperativas de Trabajo Asociado,18/10/1994
EXT-543,SOCIEDAD COOPERATIVA DEL CAMPO LA SAGRADA FAMILIA,BADAJOZ,ZURBARAN,6712,Sociedades Cooperativas Agroalimentarias,09/06/1965
EXT-109,ZURBAFRUT SOCIEDAD COOPERATIVA,BADAJOZ,ZURBARAN,6712,Sociedades Cooperativas Agroalimentarias,20/10/2004
18191,COOPERATIVA INDUSTRIAL SANTA ANA,CACERES,ABERTURA,10262,Sociedades Cooperativas de Trabajo Asociado,15/12/1970
EXT-133,"TERNERAS EXTREMEÑAS, SOCIEDAD COOPERATIVA",CACERES,ABERTURA,10262,Sociedades Cooperativas Agroalimentarias,18/11/2005
EXT-601,SOCIEDAD COOPERATIVA LA CARANTOÑA,CACERES,ACEHUCHE,10879,Sociedades Cooperativas Agroalimentarias,24/05/1988
23782,SOCIEDAD COOPERATIVA SAN SEBASTIÁN,CACERES,ACEHUCHE,10879,Sociedades Cooperativas Agroalimentarias,26/05/1978
15910,SOCIEDAD COOPERATIVA DEL CAMPO SAN SEBASTIÁN,CACERES,ACEITUNA,10666,Sociedades Cooperativas Agroalimentarias,21/06/1968
EXT-696,S. COOP. DEL CAMPO SANTÍSIMO CRISTO DE LOS REMEDIOS,CACERES,AHIGAL,10650,Sociedades Cooperativas Agroalimentarias,16/09/1966
EXT-737,SOCIEDAD COOPERATIVA LIMITADA SAN JOSÉ OBRERO DE AHIGAL,CACERES,AHIGAL,10650,Sociedades Cooperativas Agroalimentarias,17/03/1983
