Nº INSCRIPCIÓN,DENOMINACIÓN SOCIAL,PROVINCIA,LOCALIDAD,CP,CLASE O GRADO,FECHA INSCRIPCIÓN
BA-072,"MÁRMOLES NERTOBRIGA, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,25/05/1981
06/BA-370,"MOBASAN, S. COOP. LTDA.",BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,26/07/1989
EXT-1235,"NAVISGAN, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,30/01/2020
EXT-1265,"PEONÍA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,18/06/2021
BA-109,SOCIEDAD COOPERATIVA LIMITADA CONSTRUCCIONES FREGENAL,BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,26/03/1982
BA-028,SOCIEDAD COOPERATIVA LIMITADA FREXNENSE,BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,20/06/1980
EXT-812,SUPERMERCADO FREGENAL SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,FREGENAL DE LA SIERRA,6340,Sociedades Cooperativas de Trabajo Asociado,21/11/2001
06/BA-394,SOCIEDAD COOPERATIVA GANADERA DE FUENLABRADA DE LOS MONTES,BADAJOZ,FUENLABRADA DE LOS MONTES,6660,Sociedades Cooperativas Agroalimentarias,04/10/1989
EXT-758,SOCIEDAD COOPERATIVA LIMITADA GANADERA FUENLABRA,BADAJOZ,FUENLABRADA DE LOS MONTES,6660,Sociedades Cooperativas Agroalimentarias,13/08/1998
BA-143,SOCIEDAD COOPERATIVA LIMITADA LA CALABRESA,BADAJOZ,FUENLABRADA DE LOS MONTES,6660,Sociedades Cooperativas de Trabajo Asociado,21/12/1982
EXT-1112,SOCIEDAD COOPERATIVA MONTEMIEL,BADAJOZ,FUENLABRADA DE LOS MONTES,6660,Sociedades Cooperativas Agroalimentarias,22/07/1978
EXT-423,SOCIEDAD COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LA ASUNCIÓN,BADAJOZ,FUENLABRADA DE LOS MONTES,6660,Sociedades Cooperativas Agroalimentarias,17/02/1965
EXT-1276,"CAPRISUREX, SOCIEDAD COOPERATIVA",BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas Agroalimentarias,20/01/2022
EXT-699,CONEX SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas de Trabajo Asociado,16/11/1992
EXT-053,"CONTRUCCIONES NUESTRA SEÑORA DE LA HERMOSA, SOCIEDAD COOPERATIVA",BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas de Trabajo Asociado,02/10/2002
EXT-452,SOCIEDAD COOPERATIVA AGROPECUARIA FRANCISCO DE ZURBARAN,BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas Agroalimentarias,08/07/1977
EXT-868,SOCIEDAD COOPERATIVA CONSTRUCCIONES SUROESTE,BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas de Trabajo Asociado,17/10/1994
22400,"SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CARMEN, S. COOP.",BADAJOZ,FUENTE DE CANTOS,6240,Sociedades Cooperativas de Consumidores y Usuarios,19/01/1977
EXT-535,SOCIEDAD COOPERATIVA VIRGEN DEL ARA,BADAJOZ,FUENTE DEL ARCO,6980,Sociedades Cooperativas Agroalimentarias,14/03/1997
EXT-1065,"AVÍCOLAS LA FUENTE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,26/01/2015
EXT-716,"GRAN MAESTRE, S. COOP. ESPECIAL",BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,12/02/2008
EXT-1105,"LA JAROSA, S. COOP. ESPECIAL",BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,23/05/2016
EXT-795,"PROAVIEX, S. COOP. ESPECIAL",BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas Agroalimentarias,01/12/2008
EXT-062,SOCIEDAD COOPERATIVA AGRARIA NUESTRA SEÑORA DE LA CABEZA,BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas Agroalimentarias,15/03/1978
EXT-405,SOCIEDAD COOPERATIVA INDUSTRIAL FONTANESA DE CONFECCIÓN,BADAJOZ,FUENTE DEL MAESTRE,6360,Sociedades Cooperativas de Trabajo Asociado,18/04/1977
11764,COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LOS ANGELES,BADAJOZ,FUENTES DE LEON,6280,Sociedades Cooperativas Agroalimentarias,21/07/1964
EXT-227,RICAI DE FUENTES DE LEON S. COOP. LTDA.,BADAJOZ,FUENTES DE LEON,6280,Sociedades Cooperativas de Trabajo Asociado,16/12/1998
EXT-610,SOCIEDAD COOPERATIVA DEL CAMPO SAN ONOFRE,BADAJOZ,FUENTES DE LEON,6280,Sociedades Cooperativas Agroalimentarias,16/05/1946
EXT-685,SOCIEDAD COOPERATIVA SANTA ANA VIRGEN DEL ESPINO DEL VALLE,BADAJOZ,GARBAYUELA,6690,Sociedades Cooperativas de Trabajo Asociado,09/06/1994
BA-090,"VIRGEN DEL CARMEN DE GARBAYUELA, S. COOP. LTDA.",BADAJOZ,GARBAYUELA,6690,Sociedades Cooperativas de Trabajo Asociado,10/11/1981
EXT-233,CAMPO EN MARCHA S. COOP.,BADAJOZ,GARGALIGAS,6711,Sociedades Cooperativas Agroalimentarias,25/06/1993
20564,SOCIEDAD COOPERATIVA 19 DE DICIEMBRE,BADAJOZ,GARGALIGAS,6711,Sociedades Cooperativas de Consumidores y Usuarios,02/10/1974
EXT-451,"OLIVARERA GARLITOS, SOCIEDAD COOPERATIVA",BADAJOZ,GARLITOS,6656,Sociedades Cooperativas Agroalimentarias,21/08/2002
EXT-160,VICENTE PEDRAJAS SOCIEDAD COOPERATIVA,BADAJOZ,GARLITOS,6656,Sociedades Cooperativas de Trabajo Asociado,07/03/1988
EXT-469,AGRICULTORES DE LA GARROVILLA SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas Agroalimentarias,10/06/1994
EXT-1168,"FELECRO, S. COOP. ESPECIAL",BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas de Trabajo Asociado,24/04/2018
EXT-1113,FINCA TELENA S. COOP. ESPECIAL,BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas de Trabajo Asociado,15/07/2016
EXT-595,"LA JARILLA EXTREMEÑA, SOCIEDAD COOPERATIVA",BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas de Trabajo Asociado,15/01/1997
EXT-365,"NUESTRA SEÑORA DE LA CARIDAD DE LA GARROVILLA, S. COOP. LTDA.",BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas Agroalimentarias,22/10/1985
EXT-571,SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LA VEGA DEL MÁRMOL,BADAJOZ,GARROVILLA (LA),6870,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,17/06/2002
EXT-526,GANAEX SOCIEDAD COOPERATIVA,BADAJOZ,GEVORA,6180,Sociedades Cooperativas de Trabajo Asociado,17/09/1999
EXT-585,"RÍO DE GEVORA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA",BADAJOZ,GEVORA,6180,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,02/11/2004
EXT-237,SOCIEDAD COOPERATIVA DE COLONOS DE GÉVORA,BADAJOZ,GEVORA,6180,Sociedades Cooperativas Agroalimentarias,27/07/1960
EXT-103,"CAMPIÑA SUR, S. COOP.",BADAJOZ,GRANJA DE TORREHERMOSA,6910,Sociedades Cooperativas Agroalimentarias,21/08/1992
12357,COOPERATIVA AGROPECUARIA DE GRANJA DE TORREHERMOSA,BADAJOZ,GRANJA DE TORREHERMOSA,6910,Sociedades Cooperativas Agroalimentarias,07/04/1965
EXT-1049,"SN ESPECTÁCULOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,GUADAJIRA,6187,Sociedades Cooperativas de Trabajo Asociado,30/10/2014
EXT-1277,EUROFRUTEX SOCIEDAD COOPERATIVA,BADAJOZ,GUADALPERALES (LOS),6713,Sociedades Cooperativas Agroalimentarias,25/02/2022
06/BA-416,"LOS ARCOS, S. COOP. AGRICOLA-GANADERA",BADAJOZ,GUADALPERALES (LOS),6713,Sociedades Cooperativas Agroalimentarias,15/01/1990
EXT-639,SOCIEDAD COOPERATIVA DEL CAMPO INDUSTRIAL LOS GUADALPERALES,BADAJOZ,GUADALPERALES (LOS),6713,Sociedades Cooperativas Agroalimentarias,20/04/1965
BA-283,SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE LA JARA,BADAJOZ,GUADALPERALES (LOS),6713,Sociedades Cooperativas de Trabajo Asociado,30/06/1986
EXT-091,ANICAL SOCIEDAD COOPERATIVA AGRARIA,BADAJOZ,GUADIANA,6186,Sociedades Cooperativas Agroalimentarias,04/02/2004
EXT-1087,"AVÍCOLAS GUADIANA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,15/12/2015
06/BA-651,"CONSTRUCCIONES MAYSA, S. COOP.",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Trabajo Asociado,29/07/1994
EXT-1253,"FRUTAS TORREBAJA, SOCIEDAD COOPERATIVA",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas Agroalimentarias,12/11/2020
EXT-570,"LOS COMINOS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,12/11/2003
EXT-587,"MATAS DE PORRAS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,24/03/2003
06/BA-957,"PROCAEX, SOCIEDAD COOPERATIVA DE EXPLOTACION COMUNITARIA DE LA TIERRA",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,21/05/2002
EXT-238,"SAN VALERIANO EXTREMEÑO, S. COOP. LTDA.",BADAJOZ,GUADIANA,6186,Sociedades Cooperativas Agroalimentarias,03/02/1981
19773,SOCIEDAD COOPERATIVA DE COLONOS,BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Consumidores y Usuarios,28/06/1973
EXT-583,SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LOS MARCHENAS,BADAJOZ,GUADIANA,6186,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,26/04/2002
EXT-863,"CAFETERÍA GUAREÑA 2009, SOCIEDAD COOPERATIVA",BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,03/02/2010
EXT-502,CODELAMA S. COOP. LTDA.,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,13/02/1995
EXT-751,CONSTRUCCIONES GUAREÑA SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,11/02/1988
3860,COOPERATIVA CAJA RURAL DE AHORROS Y PRESTAMOS DE SAN GREGORIO,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas Agroalimentarias,21/11/1946
EXT-534,HOSTELGU S. COOP.,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,05/01/1999
EXT-980,"LOS CIEN GRAMOS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,07/02/2013
EXT-206,"MUDEGU, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,02/06/1987
06/BA-1040,SOCIEDAD COOPERATIVA EXTREMEÑA DE MUEBLES,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,16/08/1978
BA-160,SOCIEDAD COOPERATIVA LIMITADA DE CONFECCIÓN DE GUAREÑA,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Trabajo Asociado,29/06/1983
EXT-732,SOCIEDAD COOPERATIVA LIMITADA GUADACHEL,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas Agroalimentarias,03/09/1993
BA-049,SOCIEDAD COOPERATIVA LIMITADA OCHO DE MAYO,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas de Viviendas,27/11/1980
EXT-240,SOCIEDAD COOPERATIVA LIMITADA SAN PEDRO,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas Agroalimentarias,13/11/1965
EXT-167,VALDEMATE SOCIEDAD COOPERATIVA LIMITADA,BADAJOZ,GUAREÑA,6470,Sociedades Cooperativas Agroalimentarias,04/04/2000
9694,COOPERATIVA DEL CAMPO HELECHAL-LA NAVA,BADAJOZ,HELECHAL,6613,Sociedades Cooperativas Agroalimentarias,31/10/1961
BA-298,"HEVA, S. COOP. LTDA.",BADAJOZ,HELECHAL,6613,Sociedades Cooperativas de Trabajo Asociado,16/09/1986
06/BA-415,SOCIEDAD COOPERATIVA DE APROVECHAMIENTOS FORESTALES LA SIBERIA,BADAJOZ,HELECHOSA DE LOS MONTES,6692,Sociedades Cooperativas de Trabajo Asociado,15/01/1990
EXT-213,SOCIEDAD COOPERATIVA AGRÍCOLA SAN VALENTÍN DE HERNÁN CORTÉS,BADAJOZ,HERNAN CORTES,6412,Sociedades Cooperativas Agroalimentarias,30/01/1995
EXT-464,SOCIEDAD COOPERATIVA HERCO,BADAJOZ,HERNAN CORTES,6412,Sociedades Cooperativas Agroalimentarias,26/05/1978
17293,COOPERATIVA DEL CAMPO EL MORRO,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,23/10/1969
16947,COOPERATIVA DEL CAMPO LA EXTREMEÑA,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas Agroalimentarias,09/07/1969
EXT-1147,"HANGAR AUTO CHAPA Y PINTURA, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas de Trabajo Asociado,15/06/2017
EXT-1019,"RECURSOS FORESTALES CIJARA, SOCIEDAD COOPERATIVA",BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas de Trabajo Asociado,05/12/2013
06/BA-050,SOCIEDAD COOPERATIVA AGROPECUARIA SIBERIANA,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas Agroalimentarias,11/10/1988
EXT-361,SOCIEDAD COOPERATIVA CASTILLO DE HERRERA,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas Agroalimentarias,12/09/1990
EXT-132,SOCIEDAD COOPERATIVA HEDUTRAASA,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas de Trabajo Asociado,04/11/2005
6624,SOCIEDAD COOPERATIVA LOCAL DEL CAMPO CONSOLACION,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas Agroalimentarias,18/11/1954
EXT-1177,SOCIEDAD COOPERATIVA SAN JUAN BAUTISTA,BADAJOZ,HERRERA DEL DUQUE,6670,Sociedades Cooperativas de Consumidores y Usuarios,08/03/1977
EXT-098,"ENBLACAR, S. COOP. LTDA.",BADAJOZ,HIGUERA DE LA SERENA,6441,Sociedades Cooperativas de Trabajo Asociado,11/06/2004
EXT-922,"GANADEROS HIGUEREÑOS, SOCIEDAD COOPERATIVA",BADAJOZ,HIGUERA DE LA SERENA,6441,Sociedades Cooperativas Agroalimentarias,06/07/2011
EXT-468,SOCIEDAD COOPERATIVA RIO RETÍN,BADAJOZ,HIGUERA DE LLERENA,6445,Sociedades Cooperativas Agroalimentarias,21/02/2007
EXT-915,"SERVICIOS ASISTENCIALES DE HIGUERA DE VARGAS, S. COOP. ESPECIAL",BADAJOZ,HIGUERA DE VARGAS,6132,Sociedades Cooperativas de Trabajo Asociado,25/04/2011
EXT-782,"CONSTRUCCIONES LORETO, S. COOP.",BADAJOZ,HIGUERA LA REAL,6350,Sociedades Cooperativas de Trabajo Asociado,14/04/1994
06/BA-918,"FUENTE DE GARGALLON, SOCIEDAD COOPERATIVA DE TRABAJO ASOCIADO",BADAJOZ,HIGUERA LA REAL,6350,Sociedades Cooperativas de Trabajo Asociado,04/04/2001
BA-151,SOCIEDAD COOPERATIVA LIMITADA HIGUEREÑA DE LA CONSTRUCCIÓN,BADAJOZ,HIGUERA LA REAL,6350,Sociedades Cooperativas de Trabajo Asociado,11/05/1983
EXT-835,"SOCIEDAD COOPERATIVA LIMITADA, LA GLORIETA",BADAJOZ,HIGUERA LA REAL,6350,Sociedades Cooperativas de Trabajo Asociado,15/10/1980
EXT-1297,"LAS EXTREMAÑICAS, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,HINOJOSA DEL VALLE,6226,Sociedades Cooperativas de Trabajo Asociado,30/11/2022
EXT-507,SOCIEDAD COOPERATIVA SANTO CRISTO DEL ARCO TORAL,BADAJOZ,HINOJOSA DEL VALLE,6226,Sociedades Cooperativas Agroalimentarias,19/04/1961
EXT-540,FUENTE DE LOS MOROS SOCIEDAD COOPERATIVA AGRARIA,BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas Agroalimentarias,12/12/1989
06/BA-639,"GRANITOS Y MARMOLES FORNACIS, SOCIEDAD COOPERATIVA",BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas de Trabajo Asociado,06/06/1994
EXT-823,"HORNACHEROS, S. COOP.",BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas de Trabajo Asociado,04/02/2000
EXT-555,"MUEBLES TERRAZAS, SOCIEDAD COOPERATIVA",BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas de Trabajo Asociado,21/06/1993
EXT-1130,"NATUREX, S. COOP. ESPECIAL",BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas de Trabajo Asociado,09/11/2016
EXT-185,SOCIEDAD COOPERATIVA LIMITADA DE HORNACHOS,BADAJOZ,HORNACHOS,6228,Sociedades Cooperativas Agroalimentarias,05/03/1980
EXT-654,"CONSTRUCCIONES MECEVA, S. COOP.",BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,05/03/1999
EXT-904,"CONSTRUCTORA VASCO NUÑEZ, S. COOP. LTDA.",BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,19/05/1986
BA-207,"COOPERATIVA DE CONSTRUCCIÓN LA PALOMA, S. COOP. LTDA.",BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,06/08/1984
BA-313,"DISTRIBUIDORA EXTREMEÑA DE LEVADURAS, SOCIEDAD COOPERATIVA LIMITADA",BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,07/01/1987
EXT-100,INSTALACIONES JEREZANAS SOCIEDAD COOPERATIVA,BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,17/06/2004
06/BA-049,SOCIEDAD COOPERATIVA LIMITADA DE JEREZ DE LOS CABALLEROS,BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,11/10/1988
EXT-816,"VASCO NUÑEZ, S. COOP. LTDA.",BADAJOZ,JEREZ DE LOS CABALLEROS,6380,Sociedades Cooperativas de Trabajo Asociado,29/07/1982
BA-053,SOCIEDAD COOPERATIVA LIMITADA VIRGEN DE TENTUDÍA,BADAJOZ,LLERA,6227,Sociedades Cooperativas de Trabajo Asociado,15/12/1980
EXT-536,AGROLLERENA Y COMARCA SOCIEDAD COOPERATIVA AGRARIA,BADAJOZ,LLERENA,6900,Sociedades Cooperativas Agroalimentarias,25/01/2001
EXT-942,"CARNICAS DE LLERENA, S. COOP. LTDA.",BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,19/10/1982
9565,COOPERATIVA COMARCAL AGROPECUARIA Y CAJA RURAL SAN ISIDRO,BADAJOZ,LLERENA,6900,Sociedades Cooperativas Agroalimentarias,26/07/1961
17573,COOPERATIVA TEXTIL ARTESANA SANTA TERESA,BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,16/01/1970
EXT-1279,"EXTREMEÑA DE PISTACHOS, SOCIEDAD COOPERATIVA AGROALIMENTARIA",BADAJOZ,LLERENA,6900,Sociedades Cooperativas Agroalimentarias,23/03/2022
EXT-736,"FÓRMULA, S. COOP. ESPECIAL",BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Enseñanza,25/03/2008
EXT-129,"LYTEX, S.C. LOGÍSTICA Y TRANSPORTES DE EXTREMADURA, S. COOP.",BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,29/07/2005
EXT-494,"SERVICIOS Y ATENCIÓN A MAYORES EN LA CAMPIÑA, S. COOP.",BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,10/07/2001
EXT-708,SOCIEDAD COOPERATIVA DE CARPINTERÍA Y DECORACIÓN LLERENA,BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,21/09/2004
EXT-508,SOCIEDAD COOPERATIVA DE CONSTRUCCIÓN ELLERINA,BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,23/03/2000
EXT-631,SOCIEDAD COOPERATIVA DOCENTE NTRA. SRA. DE LA GRANADA DE LLERENA,BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Enseñanza,05/11/1986
EXT-420,SOCIEDAD COOPERATIVA LLERENENSE DEL MUEBLE,BADAJOZ,LLERENA,6900,Sociedades Cooperativas de Trabajo Asociado,21/11/2003
EXT-560,"LA TIESA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA",BADAJOZ,LOBON,6498,Sociedades Cooperativas de Explotación Comunitaria de la Tierra,18/02/2004
06/BA-514,S. COOP. LOBON,BADAJOZ,LOBON,6498,Sociedades Cooperativas de Trabajo Asociado,04/02/1992
EXT-346,SOCIEDAD COOPERATIVA LIMITADA PEDRO DE ALVARADO,BADAJOZ,LOBON,6498,Sociedades Cooperativas Agroalimentarias,29/07/1982
EXT-411,SOCIEDAD COOPERATIVA OLIVARERA SAN ANTONIO DE PADUA,BADAJOZ,MALCOCINADO,6928,Sociedades Cooperativas Agroalimentarias,25/09/1964
BA-044,SOCIEDAD COOPERATIVA LIMITADA LA NATIVIDAD DE NUESTRA SEÑORA DE MANCHITA,BADAJOZ,MANCHITA,6478,Sociedades Cooperativas de Trabajo Asociado,27/11/1980
EXT-184,AGRÍCOLA DE MEDELLÍN S. COOP.,BADAJOZ,MEDELLIN,6411,Sociedades Cooperativas Agroalimentarias,02/04/1969
EXT-693,"ALEXA, SOCIEDAD COOPERATIVA",BADAJOZ,MEDELLIN,6411,Sociedades Cooperativas de Servicios,03/12/2007
06/BA-408,"CONFECCIONES HERNÁN CORTÉS DE MEDELLÍN, S. COOP. LTDA.",BADAJOZ,MEDELLIN,6411,Sociedades Cooperativas de Trabajo Asociado,12/12/1989
BA-249,"INDUSTRIAS ARTÍSTICAS DE PORCELANAS EXTREMEÑAS, INARPOEX, S. COOP. LTDA.",BADAJOZ,MEDELLIN,6411,Sociedades Cooperativas de Trabajo Asociado,10/01/1986
EXT-049,TOMATES DEL GUADIANA SOCIEDAD COOPERATIVA,BADAJOZ,MEDELLIN,6411,Sociedades Cooperativas Agroalimentarias,15/11/2001
3209,COOPERATIVA DEL CAMPO CRÉDITO AGRÍCOLA,BADAJOZ,MEDINA DE LAS TORRES,6320,Sociedades Cooperativas Agroalimentarias,10/04/1947
EXT-598,S. COOP. RECOGIDA DE SOLIDOS MEDINA DE LAS TORRES,BADAJOZ,MEDINA DE LAS TORRES,6320,Sociedades Cooperativas de Trabajo Asociado,04/10/1996
BA-077,SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE CORONADA,BADAJOZ,MEDINA DE LAS TORRES,6320,Sociedades Cooperativas de Trabajo Asociado,22/06/1981
EXT-503,SOCIEDAD COOPERATIVA SANTISIMO CRISTO DEL HUMILLADERO,BADAJOZ,MEDINA DE LAS TORRES,6320,Sociedades Cooperativas Agroalimentarias,23/07/1958
EXT-1148,"2 DE 2, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,27/06/2017
EXT-1194,"7 ELEMENTOS 7, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,04/12/2018
EXT-848,"ACOAGRO, S. COOP.",BADAJOZ,MERIDA,6800,Sociedades Cooperativas Agroalimentarias,13/10/2009
EXT-042,"ACOBA S. COOP. ""ASOCIACIÓN DE COOPERATIVAS DE BADAJOZ""",BADAJOZ,MERIDA,6800,Segundo Grado,16/02/1998
SMT-1352,ACOPAEX SOCIEDAD COOPERATIVA,BADAJOZ,MERIDA,6800,Segundo Grado,20/03/1991
EXT-1144,"ACUPUNTURA Y SALUD, S. COOP. ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,17/05/2017
EXT-1273,"AGUACATE RESTAURACIÓN, S. COOP. ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,25/11/2021
EXT-909,"AL SUR RESTAURACION, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,15/02/2011
EXT-890,"AQUISUEMPRESA.COM, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,24/08/2010
EXT-1094,"ATENEA5, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,17/03/2016
EXT-739,AUTOGOLPE SOCIEDAD COOPERATIVA,BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,07/02/2000
EXT-1074,"BARDOM, S. COOP. ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,03/07/2015
EXT-1204,"BELEZA E SAÚDE, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,12/04/2019
EXT-1271,"BERLINEX, S. COOP. ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,25/10/2021
EXT-1228,"BISHAMONTEN, SOCIEDAD COOPERATIVA ESPECIAL",BADAJOZ,MERIDA,6800,Sociedades Cooperativas de Trabajo Asociado,14/10/2019
