"NUMERO REGISTRO","CARACTER","DENOMINACION","CIF","FORMA CONSTITUCIÓN","ADAPTADA LEY 50/2002","TRANSFERIDA ESTADO","AMBITO","FECHA INSCRIPCIÓN","NACIONALIDAD","LOCALIDAD","PROVINCIA","COD. POSTAL","FINES"
"06/0021","Privada","FUNDACIÓN OBRA PIA DÑA. MARIA MANUELA ARANDA",,"Mortis Causa","No","Si","Local","11/06/1928","Española","Granja de Torrehermoso","BADAJOZ","06910","ASISTENCIAL"
"06/0109","Privada","FUNDACIÓN ONCOLÓGICA INFANTIL EXTREMEÑA ÍCARO","G06502769","Intervivos","Si","No","Comunidad Autónoma","14/06/2007","Española","Zafra","BADAJOZ","06300","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0139","Privada","FUNDACIÓN ORDINARIA CAJA DE BADAJOZ","G06000681","Intervivos","Si","No","Comunidad Autónoma","26/05/2014","Española","Badajoz","BADAJOZ","06011","PROMOCIÓN DE LA ACCIÓN SOCIAL"
"06/0088","Sector Público","FUNDACIÓN ORQUESTA DE EXTREMADURA","G06357065","Intervivos","Si","No","Comunidad Autónoma","18/01/2002","Española","Badajoz","BADAJOZ","06002","CULTURAL"
"77N","Privada","FUNDACIÓN PARA EL DESARROLLO DIRECTIVO (FUNDES)","G10401065","Intervivos","Si","No","Comunidad Autónoma","04/05/2010","Española","Cáceres","CÁCERES","10002","EDUCATIVA-DOCENTE-CIENTIFICA"
"60N","Privada","FUNDACIÓN PARA EL DESARROLLO Y LA INNOVACIÓN TECNOLÓGICA Y TRANSFRONTERIZA","G10303774","Intervivos","Si","No","Comarcal","18/11/2003","Española","Valencia de Alcantara","CÁCERES","10500","TECNOLÓGICO-CULTURAL"
"88N","Privada","FUNDACIÓN PARA EL EMPRENDIMIENTO, INTEGRACIÓN Y FORMACIÓN EN EXTREMADURA","G10459733","Intervivos","Si","No","Comunidad Autónoma","06/07/2015","Española","Cáceres","CÁCERES","10001","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0124","Privada","FUNDACIÓN PARA EL ESTUDIO Y DESARROLLO DE LA IMPLANTOLOGÍA, CIRUGÍA ORAL Y MAXILOFACIAL","G06563100","Intervivos","Si","No","Comunidad Autónoma","23/03/2010","Española","Badajoz","BADAJOZ","06011","INVESTIGACIÓN"
"06/0118","Privada","FUNDACIÓN PARA ESTUDIOS TRIBUTARIOS Y EMPRESARIALES DE EXTREMADURA, FUNDETRIB","G06539308","Intervivos","Si","No","Comunidad Autónoma","07/07/2008","Española","Badajoz","BADAJOZ","06800","EDUCATIVA"
"49N","Privada","FUNDACIÓN PARA LA ADOPCIÓN INTERNACIONAL (ASE)",,"Intervivos","No","No","Comunidad Autónoma","10/01/1997","Española","Aldeacentenera","CÁCERES","10251","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"51N","Privada","FUNDACIÓN PARA LA FORMACIÓN Y DESARROLLO RURAL (FYDER)","G10207728","Intervivos","No","No","Comunidad Autónoma","15/05/1997","Española","Plasencia","CÁCERES","10600","LABORAL-DOCENTE"
"06/0128","Privada","FUNDACIÓN PARA LA INTERNACIONALIZACIÓN DEL SOFTWARE LIBRE","G06582324","Intervivos","Si","No","Comunidad Autónoma","23/06/2010","Española","Badajoz","BADAJOZ","06000","DESARROLLO DE LA SOCIEDAD DE INFORMACIÓN"
"48N","Privada","FUNDACIÓN PARA LA INVESTIGACIÓN Y EL FOMENTO DE LA ECONOMIA SOCIAL (FIFES)","G10202034","Intervivos","No","No","Comunidad Autónoma","29/07/1996","Española","Valdastillas","CÁCERES","10614","LABORAL-DOCENTE"
"06/0087","Privada","FUNDACIÓN PARA LA PROMOCIÓN Y APOYO A LAS PERSONAS CON DISCAPACIDAD (FUTUEX)","G06357016","Intervivos","Si","No","Comunidad Autónoma","12/11/2001","Española","Olivenza","BADAJOZ","06100","ASISTENCIAL"
"85N","Privada","FUNDACIÓN PATROCINA UN DEPORTISTA-THE EVNT","G10449544","Intervivos","Si","No","Comunidad Autónoma","26/05/2014","Española","Cáceres","CÁCERES","10001","INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO"
"06/0067","Privada","FUNDACIÓN PAZ Y SOLIDARIDAD GREGORIO MORÁN","G06260475","Intervivos","Si","No","Comunidad Autónoma","05/06/1997","Española","Merida","BADAJOZ","06800","VARIOS"
"78N","Privada","FUNDACIÓN PLACEAT","G10405629","Intervivos","Si","No","Comunidad Autónoma","26/10/2010","Española","Plasencia","CÁCERES","10600","ASISTENCIAL"
"06/0125","Privada","FUNDACIÓN PRIMERA FILA POR LA INTEGRACIÓN DE COLECTIVOS EN RIESGO DE EXCLUSIÓN","G06573653","Intervivos","Si","No","Comunidad Autónoma","09/03/2010","Española","Badajoz","BADAJOZ","06010","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0134","Privada","FUNDACIÓN PRIVADA INTEGRACALL EN EXTREMADURA","G06616494","Intervivos","Si","No","Comunidad Autónoma","20/03/2012","Española","Badajoz","BADAJOZ","06000","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0129","Privada","FUNDACIÓN PRO SPORT FÚTBOL EXTREMEÑO","G06586192","Intervivos","Si","No","Comunidad Autónoma","30/07/2010","Española","Badajoz","BADAJOZ","06011","DEPORTIVA"
"06/0113","Privada","FUNDACIÓN PROCONDAL","G06514988","Intervivos","Si","No","Comunidad Autónoma","11/10/2007","Española","Almendralejo","BADAJOZ","06200","ASISTENCIAL-CULTURAL"
"73N","Privada","FUNDACIÓN PYMECON","G10384600","Intervivos","Si","No","Comunidad Autónoma","17/09/2008","Española","Plasencia","CÁCERES","10600","ASISTENCIAL"
"06/0151","Privada","FUNDACIÓN RICARDO LEAL","G01743673","Intervivos","Si","No","Comunidad Autónoma","06/08/2020","Española","Jerez de los Caballero","BADAJOZ","06380","LABORAL-DOCENTE"
"FDCC-2","Privada","FUNDACIÓN ROSENDO GALÁN",,"Mortis Causa","No","Si","Local","29/12/1929","Española","Montanchez","CÁCERES","10170","ASISTENCIAL-DOCENTE"
"06/0119","Privada","FUNDACIÓN SAHARA OCCIDENTAL","G06554505","Intervivos","Si","No","Comunidad Autónoma","16/03/2009","Española","Badajoz","BADAJOZ","06000","VARIOS"
"BAD-1-1-3-","Privada","FUNDACIÓN SAN JOSÉ DE VILLAFRANCA","G06223879","Intervivos","Si","Si","Local","05/06/1995","Española","Villafranca de los Barros","BADAJOZ","06220","DOCENTE"
"06/0123","Privada","FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA","G06577787","Intervivos","Si","No","Comunidad Autónoma","04/03/2010","Española","Almendralejo","BADAJOZ","06200","SANITARIO"
"06/0081","Privada","FUNDACIÓN SAN MANUEL","G06143341","Mortis Causa","Si","No","Local","05/01/2000","Española","Sancti-Spiritusda","BADAJOZ","06655","BENEFICA-ASISTENCIAL"
"06/0068","Privada","FUNDACIÓN SANTA BARBARA Y SANTA EULALIA","G06267496","Intervivos","Si","No","Comunidad Autónoma","16/06/1997","Española","Valdebotoa","BADAJOZ","06194","DOCENTE"
"06/0137","Privada","FUNDACIÓN SARITA DE ANCIANOS DESAMPARADOS DE PUEBLA DEL MAESTRE","G06617237","Intervivos","Si","No","Comunidad Autónoma","22/11/2012","Española","Puebla del Maestre","BADAJOZ","06906","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0095","Privada","FUNDACIÓN SCHLEGEL","G06388276","Intervivos","Si","No","Comunidad Autónoma","10/06/2003","Española","Almendralejo","BADAJOZ","06200","CULTURAL"
"10/0016","Privada","FUNDACIÓN STA JULIA Y SAN LORENZO","G10110757","Mortis Causa","Si","Si","Local","19/04/1958","Española","Arroyo de la Luz","CÁCERES","10900","ASISTENCIAL"
"BAD-1-2-2","Privada","FUNDACIÓN TERCERO TORRES","G06145460","Mortis Causa","Si","Si","Comunidad Autónoma","09/11/1914","Española","Santa Marta","BADAJOZ","06150","DOCENTE"
"81N","Privada","FUNDACIÓN TOMILLO TIÉTAR","G10443943","Intervivos","Si","No","Comunidad Autónoma","16/12/2013","Española","Villanueva de la Vera","CÁCERES","10470","ASISTENCIA SOCIAL E INCLUSIÓN SOCIAL"
"06/0106","Privada","FUNDACIÓN UNIVERSIDAD SOCIEDAD","G06456487","Intervivos","Si","No","Comunidad Autónoma","02/10/2006","Española","Badajoz","BADAJOZ","06071","LABORAL"
"91N","Privada","FUNDACIÓN VERA","G10500817","Intervivos","Si","No","Comunidad Autónoma","21/06/2019","Española","Jaraiz de la Vera","CÁCERES","10400","ATENCIÓN A LAS PERSONAS EN RIESGO DE EXCLUSIÓN POR RAZONES FÍSICAS"
"10/0046","Privada","FUNDACIÓN VICENTA PÉREZ ALOE",,"Intervivos","No","Si","Comunidad Autónoma","21/07/1987","Española","Trujillo","CÁCERES","10200","ASISTENCIAL"
"06/0136","Sector Público","FUNDACIÓN VILLANUEVA XXI","G06620678","Intervivos","Si","No","Comunidad Autónoma","14/11/2012","Española","Villanueva","BADAJOZ","06700","INVESTIGACIÓN CIENTÍFICA Y DESARROLLO TECNOLÓGICO"
"90N","Privada","FUNDACIÓN WILLOW FUND","G10496842","Intervivos","Si","No","Comunidad Autónoma","07/02/2019","Española","Saucedilla","CÁCERES","10390","VARIOS"
