"Número","LOCALIDAD / DEMARCACION","CP","PROVINCIA","SERVICIO","FRECUENCIA (MHz)/CANAL","ADJUDICATRIO/LICENCIATARIO"
98,"MIAJADAS","10100","Cáceres","RADIOFONICO (FM COMERCIAL)","90.8","ANGEL GUERRERO S.L."
99,"MIAJADAS","10100","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.7 ","AYUNTAMIENTO DE MIAJADAS"
100,"MORALEJA","10840","Cáceres","RADIOFONICO (FM COMERCIAL)","92.8","CACERES, BADAJOZ Y MERIDA S.L."
101,"MORALEJA","10840","Cáceres","RADIOFONICO (FM COMERCIAL)","91.0","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
102,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","105.8","RADIO POPULAR S.A."
103,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","104.7","PRODUCCIONES AUDIOVISUALES NORTE EXTREMADURA S.L."
104,"NAVALMORAL DE LA MATA","10300","Cáceres","RADIOFONICO (FM COMERCIAL)","91.1","RADIO INTERIOR S.L."
105,"NAVALMORAL DE LA MATA","10300","Cáceres","TELEVISIVO (TDTL COMERCIAL)","32","MARTIN GARCIA CHAMORRO"
106,"PINOFRANQUEADO","10630","Cáceres","RADIOFONICO (FM COMERCIAL)","100.2","CANAL NORTE EXTREMADURA S.L."
107,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","98.0","RADIOESTUDIO S.A."
108,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","97.4","GESTION INTEGRAL DE COMUNICACIÓN DE EXTREMADURA S.L."
109,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","91.4","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
110,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","87.6","RADIO INTERIOR S.L."
111,"PLASENCIA","10600","Cáceres","RADIOFONICO (FM COMERCIAL)","96.8","UNIPREX S.A.U"
112,"PLASENCIA","10600","Cáceres","TELEVISIVO (TDTL COMERCIAL)","28","MARTIN GARCIA CHAMORRO"
113,"PLASENCIA","10600","Cáceres","TELEVISIVO (TDTL COMERCIAL)","28","RADIO VEGAS ALTAS S.L."
114,"TALAYUELA","10310","Cáceres","RADIOFONICO (FM COMERCIAL)","91.9","RADIO INTERIOR S.L."
115,"TORREJONCILLO","10830","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.0 ","AYUNTAMIENTO DE TORREJONCILLO"
116,"TRUJILLO","10200","Cáceres","RADIOFONICO (FM COMERCIAL)","95.5","SOCIEDAD ESPAÑOLA DE RADIODIFUSION S.A."
117,"TRUJILLO","10200","Cáceres","RADIOFONICO (FM MUNICIPAL)","107.2 ","AYUNTAMIENTO DE TRUJILLO"
118,"VALENCIA DE ALCANTARA","10415","Cáceres","RADIOFONICO (FM COMERCIAL)","99.8","CACERES BADAJOZ Y MERIDA S.L."
