"Nregistro","Ambito","Provincia","Fregistro","Nombre","Domicilio","Dlocalidad","CodPostal","fines"
1458,"Provincial","Cáceres",07/01/92,"PARA EL DESARROLLO INTEGRAL DE LA SIERRA DE GATA","Alvarez de Castro 2.","HOYOS","10850"," ESTUDIANTES, OTRAS DE SOLIDARIDAD, PERSONAS MAYORES"
1459,"Local","Badajoz",12/12/89,"ASOCIACION COFRADÍA SAN ANTÓN ABAD","C/ Trafalgar, nº 12","NAVALVILLAR DE PELA","06760"," IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, OTRAS"
1459,"Local","Cáceres",07/01/92,"A.C.C.U. SANTA MARIA","Juan Carlos I, 1","CONQUISTA DE LA SIERRA","10240"," IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, OTRAS"
1460,"Provincial","Badajoz",12/12/89,"CULT. TAURINA ""JEREZ DE LOS CABALLEROS""","VIRGEN DE GUADALUPE, 8","JEREZ DE LOS CABALLEROS","06380"," OTRAS, TAURINAS"
1460,"Local","Cáceres",07/01/92,"CULTURAL DE MUJERES VIRGEN DEL CARRASCAL","Gabriel y Galan 36, Casa de la Cultura","ALDEA DEL OBISPO","10291"," OTRAS, TAURINAS"
1461,"Provincial","Badajoz",13/12/89,"VIUDAS ""SANTA ISABEL""","AVDA. CAROLINA CORONADO, 37","BADAJOZ",," OTRAS"
1461,"Provincial","Cáceres",08/01/92,"CULTURAL DE MUJERES PENCONAS","AVD/ EXTREMADURA, 95","ALDEANUEVA DE LA VERA","10440"," OTRAS"
1462,"Local","Cáceres",08/01/92,"DE MUJERES LOS PINOS","PZ. REINA VICTORIA","PINOFRANQUEADO","10630"," OTRAS, SERVICIOS SANITARIOS"
1463,"Provincial","Cáceres",13/01/92,"CORAL SANTA MARIA DE GUADALUPE","Eusebio Gonzalez 3, 1º","GUADALUPE","10140"," MUSICALES"
1464,"Provincial","Badajoz",22/12/89,"AMPA DEL COLEGIO PÚBLICO PIO XII","C/ Carretera de la Estación, s/n","DON ÁLVARO","06820"," MADRES Y PADRES DE ALUMNOS, PERSONAS MAYORES"
1464,"Local","Cáceres",13/01/92,"DE LA TERCERA EDAD Y PENSIONISTAS","JOSÉ ANTONIO, 2","SAUCEDILLA","10390"," MADRES Y PADRES DE ALUMNOS, PERSONAS MAYORES"
1465,"Provincial","Badajoz",27/12/89,"ASOCIACIÓN  DE PESIONISTAS  DE VALENCIA DEL VENTOSO","AVDA. PORTUGAL, 6","VALENCIA DEL VENTOSO","06330"," OTRAS, PERSONAS MAYORES"
1465,"Local","Cáceres",15/01/92,"DE MUJERES RÍO TIETAR","MANUEL MAS, 26","TALAYUELA","10310"," OTRAS, PERSONAS MAYORES"
1466,"Provincial","Badajoz",27/12/89,"ASOC. DE PENSIONISTAS Y ANCIANOS DE PUEBLA DE SANCHO PEREZ","Pº DE EXTREMADURA, 1","PUEBLA DE SANCHO PÉREZ","06310"," PERSONAS MAYORES"
1466,"Local","Cáceres",15/01/92,"DE LA TERCERA EDAD Y PENSIONISTAS DE ROMANGORDO","PADRE ANGEL BARQUILLA, 6","ROMANGORDO","10359"," PERSONAS MAYORES"
1467,"Provincial","Badajoz",27/12/89,"ASOCIACIÓN DE PENSIONISTAS Y ANCIANOS DE ATALAYA","LA CRUZ, 1","ATALAYA","06329"," DEPORTISTAS, EXDEPORTISTAS, PERSONAS MAYORES"
1467,"Provincial","Cáceres",20/01/92,"PEÑA ATLÉTICO DE MADRID EL MADROÑO","PZ. MAYOR, 2","MADROÑERA","10210"," DEPORTISTAS, EXDEPORTISTAS, PERSONAS MAYORES"
1468,"Provincial","Badajoz",28/12/89,"ASOCIACIÓN DEMOCRATICA DE PENSIONISTAS Y JUBILADOS DE ALCONERA","SAN PEDRO, 4","ALCONERA","06393"," OTRAS, PERSONAS MAYORES"
1468,"Local","Cáceres",21/01/92,"DE MUJERES BALCÓN DEL VALLE DE VALDASTILLAS","PZ. MAYOR, 6","VALDASTILLAS","10614"," OTRAS, PERSONAS MAYORES"
1469,"Provincial","Badajoz",29/12/89,"ALUMNOS ""AVANZAR"" DEL CENTRO EPA","MADRID, 4","MONTIJO","06480"," OTRAS"
1469,"Comarcal","Cáceres",21/01/92,"DE MUJERES PEÑAS ALBAS DE CABEZUELA DEL VALLE","CASA DE LA CULTURA","CABEZUELA DEL VALLE","10610"," OTRAS"
1470,"Provincial","Badajoz",07/12/89,"ECOLOGISTA BEMBEZAR AZUAGA","LLANA, Nº 41","AZUAGA","06920"," CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, PROMOCIÓN DE LA CONVIVENCIA Y LA TOLERANCIA"
1470,"Provincial","Cáceres",21/01/92,"AMAS DE CASA NUESTRA SEÑORA DE FÁTIMA","C/ GABRIEL Y GALÁN, 14","ALDEHUELA DEL JERTE","10671"," CULTURALES, DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, PROMOCIÓN DE LA CONVIVENCIA Y LA TOLERANCIA"
1471,"Provincial","Badajoz",16/01/90,"BARCELONISTA ""PEDRO CRESPO""","TRAJANO, 6","ZALAMEA DE LA SERENA","06430"," OTRAS, SOCIOS, SEGUIDORES"
1471,"Local","Cáceres",17/01/92,"DE MUJERES LA PALOMA  DE ROSALEJO","MANUEL MAS, 26","TALAYUELA","10310"," OTRAS, SOCIOS, SEGUIDORES"
1472,"Provincial","Badajoz",17/01/90,"CULTURAL DEL CARNAVAL DE ZAFRA","HUELVA,14","ZAFRA","06300"," FESTEJOS, OCIO, TIEMPO LIBRE, PROPIETARIOS, VECINOS"
1473,"Provincial","Badajoz",18/01/90,"PEÑA CULTURAL FLAMENCA ""FUENTES DE LEON""","LOCAL ANEXO CINE SAN VICENTE","FUENTES DE LEON","06280"," CULTURALES, OTRAS"
1473,"Local","Cáceres",03/02/92,"DE MUJERES LA ESPERANZA","ARTESANÍA, 16. PUEBLONUEVO DE MIRAMONTES","TALAYUELA","10310"," CULTURALES, OTRAS"
1474,"Provincial","Badajoz",22/01/90,"A. ANAS","DIAZ BRITO, 14-5º-D","BADAJOZ",," CULTURALES, OTRAS"
1474,"Local","Cáceres",04/02/92,"CULTURAL SAN ANTONIO DE DELEITOSA","HORNOS, 7","DELEITOSA","10370"," CULTURALES, OTRAS"
1475,"Provincial","Badajoz",25/01/90,"ASOCIACIÓN DE VIUDAS NTRA. SRA. DE GRACIA","Plaza de la Constitución, s/n","SANTA MARTA DE LOS BARROS","06150"," DEPORTISTAS, EXDEPORTISTAS, OTRAS"
1475,"Provincial","Cáceres",05/02/92,"PEÑA MADRIDISTA CASILLA BLANCA","AVD. DE LA VERA, 57","VILLANUEVA DE LA VERA","10470"," DEPORTISTAS, EXDEPORTISTAS, OTRAS"
1476,"Provincial","Badajoz",26/01/90,"CULTURAL OBANDINA","Plaza del Pilar, s/n","PUEBLA DE OBANDO","06191"," CULTURALES, TAURINAS"
1476,"Local","Cáceres",05/02/92,"CULTURAL TAURINA EL QUITE","PZ. DE ESPAÑA, 1","SIERRA DE FUENTES","10181"," CULTURALES, TAURINAS"
1477,"Provincial","Badajoz",31/01/90,"VECINOS PEÑALSORDO","GRA. VARELA, 1","PEÑALSORDO","06610"," PERSONAS MAYORES, PROPIETARIOS, VECINOS"
1477,"Local","Cáceres",06/02/92,"CLUB DE PENSIONISTAS Y TERCERA EDAD LOS SANTITOS","PSO. DE LOS NARANJOS S7N","TORRECILLA DE LOS ÁNGELES","10869"," PERSONAS MAYORES, PROPIETARIOS, VECINOS"
1478,"Provincial","Badajoz",31/01/90,"CULT-RECREATIVA ""AMIGOS LOS CLAVELES""","PASEO DEL FERIAL, S/N","ZAFRA","06300"," CULTURALES, DEPORTISTAS, EXDEPORTISTAS"
1478,"Local","Cáceres",06/02/92,"ECUESTRE DE GARROVILLAS","Barrio de San Anton 32","GARROVILLAS","10940"," CULTURALES, DEPORTISTAS, EXDEPORTISTAS"
1479,"Provincial","Badajoz",06/02/90,"TERCERA EDAD ""NTRA. SRA. DE NAZARET""","PLAZA DE LA IGLESIA S/N","GARLITOS","06656"," CULTURALES, PERSONAS MAYORES"
1479,"Provincial","Cáceres",10/02/92,"BELLAS ARTES RODRIGO ALEMAN","COMPLEJO CULTURAL SANTA MARIA. c/ TRUJILLO, 23","PLASENCIA","10600"," CULTURALES, PERSONAS MAYORES"
1480,"Local","Cáceres",14/02/92,"DE VECINOS LA PERALA","BAR RESTAURANTE LA PERALA. CRTA. NACIONAL 630","CASAR DE CÁCERES","10190"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, PROPIETARIOS, VECINOS"
1481,"Provincial","Badajoz",08/02/90,"A. CICONIA","---------","TORREMEJIA","06210"," OTRAS, PERSONAS MAYORES"
1481,"Local","Cáceres",14/02/92,"DE JUBILADOS SAN JOSE DE CABEZO","SAN JOSÉ S/N. CABEZO","LADRILLAR","10625"," OTRAS, PERSONAS MAYORES"
1482,"Provincial","Badajoz",23/01/90,"CINE-CLUB AZUAGA","CAROLINA CORONADO, 14","AZUAGA","06920"," CULTURALES, TAURINAS"
1482,"Local","Cáceres",17/02/92,"CULTURAL TAURINA EMILIO REY","PZ. MAYOR, 12","CÁCERES",," CULTURALES, TAURINAS"
1483,"Provincial","Badajoz",08/02/90,"PEÑA TAURINA ""EL ACIERTO""","BADAJOZ, 49","CASTUERA","06420"," CULTURALES, TAURINAS"
1483,"Provincial","Cáceres",19/02/92,"CULTURAL TOPE GANSO","NARANJOS, 5","TRUJILLO","10200"," CULTURALES, TAURINAS"
1484,"Provincial","Badajoz",09/02/90,"MERIDA ESPERANTO GRUPO","EUGENIO HERMOSO BL. C-1, 1ºB","MERIDA","06800"," OTRAS, TAURINAS"
1484,"Local","Cáceres",19/02/92,"TAURINA DE CASATEJADA","POZO TINAJA, 3","CASATEJADA","10520"," OTRAS, TAURINAS"
1485,"Provincial","Badajoz",14/02/90,"ANZA (A. NATURALISTA DE ZAFRA)","EDIFICIO SAN MIGUEL, 4º-D","ZAFRA","06300"," DEFENSA DEL MEDIO AMBIENTE, ECOLOGISTAS, CONSERVACIONISTAS, OTRAS"
1486,"Provincial","Badajoz",16/02/90,"ASOCIACIÓN DE PENSIONISTAS Y JUBILADOS NUESTRO PADRE JESÚS DE LA HUMILDAD (UDP)","C/ Pedro Esteban Morcelo, 62","HIGUERA LA REAL","06350"," IGUALDAD DE TRATO Y DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES, VIOLENCIA DE GÉNERO, PERSONAS MAYORES"
1487,"Provincial","Badajoz",16/02/90,"ASOC. DE VIUDAS VIRGEN DE LA  GRANADA DE FUENTE DE CANTOS","PLAZA DE LA ESTELA, S/N","FUENTE DE CANTOS","06240"," CULTURALES, OTRAS"
1487,"Provincial","Cáceres",21/03/91,"KARLIK","AVD. DE LA MONTAÑA, 1","CÁCERES",," CULTURALES, OTRAS"
1488,"Provincial","Badajoz",19/02/90,"CULTURAL LOS CERCOS","TOLEDILLO, 47","MEDINA DE LAS TORRES","06320"," CULTURALES"
1488,"Local","Cáceres",21/02/92,"CULTURAL TORREMOCHA POR EL PROGRESO","PZ. MAYOR S/N","TORREMOCHA","10184"," CULTURALES"
1489,"Provincial","Badajoz",19/02/90,"ASOC. DE PENSIONISTAS Y JUBILADOS CABALLEROS DE MEXÍAS","GARCIA LORCA, 18","TORREMEJIA","06210"," OTRAS, PERSONAS MAYORES, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
1489,"Autonómico","Cáceres",24/02/92,"AMAS DE CASA Y CONSUMIDORES LA CIGÜEÑA","LibertaD 34","VILLAMESÍAS","10263"," OTRAS, PERSONAS MAYORES, USUARIOS DE SERVICIOS PRIVADOS, CONSUMO"
1490,"Local","Cáceres",24/02/92,"LOCAL DE MUJERES LA VILLA","PZ. DE ESPAÑA, 1","VILLA DEL CAMPO","10814"," OTRAS"
1491,"Provincial","Badajoz",22/02/90,"ASOC. DEMOCRÁTICA DE PENSIONISTAS Y JUBILADOS DE MEDINA DE LAS TORRES (UDP)","Plaza de la Constitución, s/n","MEDINA DE LAS TORRES","06320"," OTRAS, PERSONAS MAYORES"
1491,"Local","Cáceres",25/02/92,"DE PADRES Y AMIGOS DE AYUDA AL DROGADICTO APAAD","RONDA SUR, 85","LOSAR DE LA VERA","10460"," OTRAS, PERSONAS MAYORES"
