Número,Provincia,Localidad,Dirección de la instalación,Ubicación,HUSO,Modo de carga,Potencia,Titular,Longitud,Latitud
70,CÁCERES,Cáceres,RONDA DE SAN FRANCISCO,Aparcamiento público,29,4,50.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.3678673836162714,39.46682505775527
71,CÁCERES,Cáceres,"CALLE NICOLAS COPERNICO, Nº 20",Otros (especificar): ,29,3,7.4,ASEMIET,-0.3655740470341784,39.50316525695293
72,CÁCERES,Cáceres,"Avenida de las Ciencias, S/N -  PCTEx",Parking de las Oficinas de Wenea,29,4,50.0,"WENEA SERVICES SPAIN, S.L.",-0.3450048265070335,39.478874807974414
73,CÁCERES,Cáceres,"CALLE POZO DE LA  NIEVE, S/N",Centro comercial,29,3,3.68,"MERCADONA,S.A",-0.3683199375168741,39.48816827129393
74,CÁCERES,Cáceres,"CALLE POZO DE LA  NIEVE, S/N",Centro comercial,29,3,3.68,"MERCADONA,S.A",-0.3683199375168741,39.48816827129393
75,CÁCERES,Cáceres,"Calle de los Halcones, s/n, 10004, Cáceres",Restaurante,29,4,50.0,"IBERDROLA CLIENTES, SAU",-0.3771388246238314,39.48922224342466
76,CÁCERES,Cáceres,manuel pacheco s/n,Hotel,29,3,10.0,BARCELO HOTELS MEDITERRANEO SL,-4.8624476539462815,59.152029108017686
77,CÁCERES,Cáceres,manuel pacheco s/n,Hotel,29,3,10.0,BARCELO HOTELS MEDITERRANEO SL,-4.8624476539462815,59.152029108017686
78,CÁCERES,Cáceres,manuel pacheco s/n,Hotel,29,3,10.0,BARCELO HOTELS MEDITERRANEO SL,-4.8624476539462815,59.152029108017686
79,CÁCERES,Cáceres,manuel pacheco s/n,Hotel,29,3,10.0,BARCELO HOTELS MEDITERRANEO SL,-4.8624476539462815,59.152029108017686
80,CÁCERES,Cáceres,"CTRA NACIONAL 521, COMPLEJO DEPORTIVO EL CUARTILLO",Aparcamiento público,29,3,22.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.3332860476674163,39.477269840511454
81,CÁCERES,Garrovillas de Alconétar,"Plaza de la Constitución, 18",Hotel,29,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.5491782205193739,39.71346452763896
82,CÁCERES,Garrovillas de Alconétar,"Plaza de la Constitución, 18",Hotel,29,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.5491782205193739,39.71346452763896
83,CÁCERES,Gordo (El),Hotel Vincci Valdecañas Golf,,30,3,11.0,GOLF VALDECAÑAS S.L.,-5.378797559615351,39.83773550690189
84,CÁCERES,Gordo (El),Hotel Vincci Valdecañas Golf,,30,3,11.0,GOLF VALDECAÑAS S.L.,-5.378797559615351,39.83773550690189
85,CÁCERES,Hervás,Plaza del Hospital s/n,Hotel,30,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-5.855784687479836,40.272772155886834
86,CÁCERES,Hervás,Plaza del Hospital s/n,Hotel,30,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-5.855784687479836,40.272772155886834
87,CÁCERES,Hervás,"Ctra.N630, km 434",Hotel,30,3,7.2,Termahostur S.L.,-5.889206979641419,40.27388353174785
88,CÁCERES,Jaraíz de la Vera,"Ctra. EX 203 Km. 32,800",Garaje del Hotel,30,2,7.5,Hotel Rural Villa Xarahiz S.L.,-4.448906343599611,51.912593431320026
89,CÁCERES,Jarilla,CARRETERA NACIONAL 630 KM 449 S/N ,,29,3,50.0,"WENEA SERVICES SPAIN, S.L.",-0.0080562268866507,40.18650364041929
90,CÁCERES,Jarilla,CARRETERA NACIONAL 630 KM 449 S/N ,,29,3,50.0,"WENEA SERVICES SPAIN, S.L.",-0.0080562268866507,40.18650364041929
91,CÁCERES,Jerte,"C/ Ramón Cepeda, 118",Hotel,30,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-5.747434165412609,40.22352618845536
92,CÁCERES,Jerte,"C/ Ramón Cepeda, 118",Hotel,30,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-5.747434165412609,40.22352618845536
93,CÁCERES,Ladrillar,"C/ Factoria s/n, Las Mestas",Hotel,29,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.1433913404728258,40.42585998434574
94,CÁCERES,Ladrillar,"C/ Factoria s/n, Las Mestas",Hotel,29,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.1433913404728258,40.42585998434574
95,CÁCERES,Miajadas,"Av. de García Siñeriz, 195",PRVE TRIANA,30,3,150.0,"WENEA SERVICES SPAIN, S.L.",-5.925013352238819,39.1434724198882
96,CÁCERES,Moraleja,AVENIDA DE LUSITANIA 101,Vía pública,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.6607518216757945,40.06283768654745
97,CÁCERES,Navalmoral de la Mata,"AUTOVÍA DEL SUROESTE, KM182",PRVE EL BERROCAL,30,3,50.0,"WENEA SERVICES SPAIN, S.L.",-5.5500574974094254,39.87360233744037
98,CÁCERES,Navalmoral de la Mata,"AUTOVÍA DEL SUROESTE, KM182",PRVE EL BERROCAL,30,3,50.0,"WENEA SERVICES SPAIN, S.L.",-5.5500574974094254,39.87360233744037
99,CÁCERES,Navas del Madroño,CALLE ISABEL HERRERO S/N,Vía pública,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.6573529834072935,39.62103284062752
100,CÁCERES,Plasencia,"AVENIDA MARTIN PALOMINO, NUM. 40",LA DESPENSA DE PLASENCIA S.L.,29,3,22.0,"LA DESPENSA DE EXTREMADURA, S.L.",-0.107073372171068,40.012712072421046
101,CÁCERES,Plasencia,"PLAZA SAN VICENTE FERRER, S/N",Hotel,29,3,32.0,"PARADORES DE TURISMO DE ESPAÑA SME, S.A.",-0.0943395630191181,40.0291201699968
102,CÁCERES,Plasencia,"PLAZA SAN VICENTE FERRER, S/N",Hotel,29,3,32.0,"PARADORES DE TURISMO DE ESPAÑA SME, S.A.",-0.0943395630191181,40.0291201699968
103,CÁCERES,Plasencia,"PLAZA SAN VICENTE FERRER, S/N",Hotel,29,2,32.0,"PARADORES DE TURISMO DE ESPAÑA SME, S.A.",-0.0943395630191181,40.0291201699968
104,CÁCERES,San Martín de Trevejo,"Camino del Convento, 29",Hotel,29,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.8019868838271219,40.21687651997341
105,CÁCERES,San Martín de Trevejo,"Camino del Convento, 29",Hotel,29,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.8019868838271219,40.21687651997341
106,CÁCERES,Torrejón el Rubio,"Ctra. Plasencia-Trujillo, KM 37",Hotel,29,3,11.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.0157944375247791,39.7805207478755
107,CÁCERES,Torrejón el Rubio,"Ctra. Plasencia-Trujillo, KM 37",Hotel,29,3,22.0,JUNTA DE EXTREMADURA. D. G. DE TURISMO,-0.0157944375247791,39.7805207478755
108,CÁCERES,Trujillo,HOTEL IZAN TRUJILLO - PLZA DEL CAMPILLO 1,Hotel,30,3,7.0,HOTEL IZAN TRUJILLO (OFITOUR SL),-5.877219066757276,39.45878844112906
109,CÁCERES,Trujillo,HOTEL IZAN TRUJILLO - PLZA DEL CAMPILLO 1,Hotel,30,3,7.0,HOTEL IZAN TRUJILLO (OFITOUR SL),-5.877219066757276,39.45878844112906
110,CÁCERES,Trujillo,CTRA. N-V km 259,Restaurante. Aparcamiento privado del mismo,30,3,44.0,"RESTAURANTE LA MAJADA, SL",-5.890930294373317,39.41179203943368
111,CÁCERES,Trujillo,"ANTIGUA CARRETERA DE MADRID, KM251",PRVE PERÚ,30,3,50.0,"WENEA SERVICES SPAIN, S.L.",-5.858084124581328,39.47516670647554
112,CÁCERES,Trujillo,"ANTIGUA CARRETERA DE MADRID, KM251",PRVE PERÚ,30,3,50.0,"WENEA SERVICES SPAIN, S.L.",-5.858084124581328,39.47516670647554
113,CÁCERES,Valdefuentes,"Plaza del Convento, S/N",Vía pública,29,3,7.2,"WENEA SERVICES SPAIN, S.L.",-0.1270992646732403,39.273818307841935
114,CÁCERES,Valverde del Fresno,CALLE DONOSO CORTÉS,Vía pública,29,3,43.0,DIPUTACIÓN PROVINCIAL DE CÁCERES,-0.8784445976993958,40.21874800733208
115,CÁCERES,Villanueva de la Vera,"Carretera EX-203, Km. 75,6",Hotel Rural - ****- Restaurante,30,3,6.4,HOTEL RURAL EL BALCON DE LA VERA S.L.,-5.416050545032731,40.13185845915446
116,CÁCERES,Villanueva de la Vera,"Carretera EX-203, Km. 75,6",Hotel Rural - ****- Restaurante,30,3,6.4,HOTEL RURAL EL BALCON DE LA VERA S.L.,-5.416050545032731,40.13185845915446
117,CÁCERES,Villanueva de la Vera,"Carretera EX-203, Km. 75,6",Hotel Rural - ****- Restaurante,30,3,6.4,HOTEL RURAL EL BALCON DE LA VERA S.L.,-5.416050545032731,40.13185845915446
