Num. Registro,Provincia,exp_fecapertura,exp_fecestado,Nombre establecimiento,Municipio,C. Postal,Web
OA-CC-00163,Cáceres,15/05/2020,15/05/2020,SERVICIOS FOTOGRAFICOS MANUEL MONTERO,ARROYO DE LA LUZ,10900,No
OA-CC-00191,Cáceres,09/12/2022,09/12/2022,BALNEARIO Y TERMAS ROMANAS DE BAÑOS DE MONTEMAYOR,BAÑOS DE MONTEMAYOR,10750,No
OA-CC-00026,Cáceres,26/02/2013,26/02/2013,LA ALDEA JUGLAR,BARRADO,10696,Si
OA-CC-00164,Cáceres,11/05/2020,11/05/2020,EL BICHO DEL PANTANO SHOP OCIO Y AVENTURA,BERROCALEJO,10392,No
OA-CC-00184,Cáceres,06/04/2022,06/04/2022,LA NAVE VA,BERROCALEJO,10392,No
OA-CC-00156,Cáceres,26/09/2019,26/09/2019,VALDECAÑAS MULTIAVENTURA,BERROCALEJO,10392,No
OA-CC-00051,Cáceres,09/03/2012,09/03/2012,DISCOVER EXTREMADURA,BERZOCANA,10129,Si
OA-CC-00029,Cáceres,22/04/2013,22/04/2013,GEOTURISMO EN LAS VILLUERCAS,BERZOCANA,10129,Si
OA-CC-00048,Cáceres,04/09/2009,04/09/2009,RUTAS POR EXTREMADURA,BERZOCANA,10129,No
OA-CC-00089,Cáceres,17/11/2014,17/11/2014,VEREAS DE EXTREMADURA,BOTIJA,10185,Si
OA-CC-00011,Cáceres,09/09/2004,09/09/2004,"LA MANDILA, ACTIVIDADES TURISTICAS",BROZAS,10950,No
OA-CC-00147,Cáceres,08/02/2019,08/02/2019,BIRDING EXPERIENCE & WILDLIFE TOURS (BIRDEX),CABEZABELLOSA,10729,Si
OA-CC-00206,Cáceres,09/10/2023,09/10/2023,PISAVALLES NATURGREDOS,CABEZABELLOSA,10729,Si
OA-CC-00092,Cáceres,02/02/2015,02/02/2015,ALPASIN EXPERIENCIAS FOTOGRÁFICAS,CACERES,10000,Si
OA-CC-00049,Cáceres,06/12/2005,06/12/2005,"AOSSA EXTREMADURA, SL",CACERES,10002,No
OA-CC-00130,Cáceres,18/05/2017,18/05/2017,BIKES AT FOREST,CACERES,10005,Si
